uid,district_name,year,month,area,centroid_x,centroid_y,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_anomaly,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_anomaly,lst_mean,lst_std,lst_min,lst_max,lst_anomaly,precipitation_mean,precipitation_std,precipitation_min,precipitation_max,precipitation_anomaly,drought_signal,population_mean,population_std,population_min,population_max,lulc_majority_class,rwi_mean,rwi_std,rwi_min,rwi_max,population_available,lulc_available
WBD0001,alipurduar,2013,1,0.2536678111680153,89.46302894657805,26.63269204937995,0.4981034628588101,0.1307900307156088,0.0879000015556812,0.9165500104427338,0.0640909166225768,-0.4804587168236301,0.0907049553882552,-0.7789564728736877,-0.1830707490444183,-0.0453372408613934,22.829141835518477,1.528491053405315,13.787272453308104,28.19266700744629,0.6766135104396866,0.0682555746149133,0.0622689240941152,0.0235007647424936,0.3207193315029144,-0.0351440746826848,-0.1088333663094353,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,2,0.2536678111680153,89.46302894657805,26.63269204937995,0.4988556526556913,0.1310561341739691,0.0879999995231628,0.8856500089168549,0.0515635820409448,-0.4727946922785919,0.084478238287035,-0.7694989442825317,-0.185200497508049,-0.0203405073816717,27.59593762415574,1.7974709756088318,18.273332595825195,34.068748474121094,0.406718480619471,0.5878651936848959,0.1272497526246892,0.3282268047332763,0.9109665155410768,0.1043681313466017,0.4786052722543479,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,3,0.2536678111680153,89.46302894657805,26.63269204937995,0.4759243782901271,0.1178711071456678,0.1183499991893768,0.8670500218868256,0.0376044637443385,-0.4585601038597085,0.0775552616535444,-0.7110580801963806,-0.1940864473581314,-0.0110594919441772,29.692550655542316,1.7438329515052078,20.81615447998047,35.0911750793457,-2.382134839138587,0.3317620312726056,0.2349770648914629,0.1032813861966133,1.026885151863098,0.0780141357059996,0.8058665253578914,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,4,0.2536678111680153,89.46302894657805,26.63269204937995,0.4952023117798967,0.1226425252734055,0.0421000011265277,0.9268500208854676,0.0431409161569316,-0.3571810009905622,0.0791025640929121,-0.6800743937492371,-0.150577425956726,0.0785594737108178,31.45257499006754,1.7397328856779637,23.12555503845215,36.5445442199707,-2.951913244177831,3.7654492413556135,0.9856442877960684,1.5921391248703003,5.505050182342529,1.685137353852348,0.5571970157269565,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,5,0.2536678111680153,89.46302894657805,26.63269204937995,0.6325050205477751,0.1528337669491759,0.0470000002533197,0.9480000138282776,0.1557651261968337,-0.5052270904472961,0.0915959637570529,-0.7162927389144897,-0.0895704105496406,-0.1261633501059663,28.907459256583174,1.2470464194717257,20.950000762939453,32.775001525878906,-3.394746613823436,7.720523410373264,0.8595455060767492,6.030472278594971,9.001890182495117,1.6874329505622851,-0.3421562565842603,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,6,0.2536678111680153,89.46302894657805,26.63269204937995,0.5282953455564661,0.1548804342861006,0.0448500011116266,0.9733999967575072,0.0470531597788647,-0.4097349343690267,0.0828569258181021,-0.669026792049408,-0.0950096771121025,-0.021997826761043,32.42540886365562,1.984964759557903,21.32999992370605,36.38999938964844,0.6091695747617081,17.488355848524307,1.1536660416033715,15.649584770202637,19.696277618408203,7.437861537315419,-1.2071009676107205,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,7,0.2536678111680153,89.46302894657805,26.63269204937995,0.5142611297862039,0.1797913725548882,0.0008500004187226,0.975849986076355,0.1091022113699244,-0.3088637902198152,0.0798479359322686,-0.5706794261932373,-0.048522476106882,-0.0101375562763338,23.423711678523038,4.79002224183305,15.869999885559082,30.850000381469727,-3.6114598947583616,26.28940384476273,3.1177288301639687,21.320972442626957,31.634706497192383,15.40321019078473,-3.686365440567424,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,8,0.2536678111680153,89.46302894657805,26.63269204937995,0.6976891512713548,0.1476803135243206,-0.0155500005930662,0.9627499878406524,0.1544227756320466,-0.4174078254420197,0.0912759577364887,-0.7160613536834717,-0.0749496594071388,-0.0961888463191129,29.97776005158048,5.005673726284349,-15.210000038146973,33.77000045776367,1.147890961017719,18.27997278284144,0.8371971734326896,16.31049346923828,20.421693801879883,5.701604227289591,-1.678433687960078,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,9,0.2536678111680153,89.46302894657805,26.63269204937995,0.7468476469383194,0.1198417605536014,0.0428499998524785,0.9618000090122224,0.0699478924017422,-0.6233202596119385,0.0877976721453566,-0.7950711250305176,-0.1025092974305152,-0.1212926853674841,29.85515236367985,0.899427039105646,22.88999938964844,33.22200012207031,0.549545924369454,10.971553096064817,1.2539695267471898,9.184700012207031,13.556462287902832,2.7679244769709754,-0.6608491095609971,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
WBD0001,alipurduar,2013,10,0.2536678111680153,89.46302894657805,26.63269204937995,0.7535580707439412,0.1222780857438613,0.0109000001102685,0.9682999849319458,0.0786836712741044,-0.6555885881251992,0.0732033335735383,-0.8091316223144531,-0.3078749179840088,-0.0982738335522908,28.20825387365912,0.8409206505940159,21.2681827545166,30.17545509338379,0.0731160375368666,3.159084743923611,0.4018733358758627,2.2183165550231934,3.925989389419556,-5.527285765888127,0.1971610454927176,360.6281831872946,264.23627587568984,12.996615409851074,4138.4951171875,,-0.12358356164383563,0.367025230372219,-1.099,0.947,1,0
